civil 47117
ice 102041
developed 60716
italian 107293
taken 207888
italy 107326
space 199163
among 14098
cup 55327
2002 2750
26 3457
coast 48339
science 189121
give 86505
run 183909
open 155678
say 187916
race 174806
having 94594
currently 55486
africa 10129
sent 191033
move 143805
studied 203340
meaning 135966
study 203355
27 3530
stars 201294
average 21611
blood 30926
daughter 57780
seven 191764
san 186339
child 45081
australian 21179
night 150392
1999 2640
always 13394
either 68769
28 3598
fire 77761
non 151431
strong 203165
joined 110117
official 154354
chemical 44479
working 232862
something 198250
considered 50970
50 5055
start 201304
film 77482
chicago 44926
leader 122864
certain 42817
bad 22852
information 104587
match 134331
court 53054
spain 199229
problems 170762
radio 174983
hall 92751
especially 72448
stage 200905
languages 121661
queen 174133
appeared 16801
charles 43873
close 47948
metal 137943
brother 35254
level 124353
hard 93681
field 77235
inside 105138
event 73582
movement 143813
might 139097
police 167757
idea 102279
kind 115916
act 8830
green 89315
soon 198502
records 177401
29 3671
forces 79528
lead 122855
full 81807
real 176858
office 154346
florida 78746
soviet 199089
low 127786
female 76506
robert 181821
heart 95049
think 212116
road 181722
hit 97900
teams 209637
cause 41747
paris 160548
prime 170497
across 8816
car 39982
airport 11141
style 203498
class 47394
says 187959
council 52820
lives 126243
need 148622
chinese 45241
performed 163140
final 77539
opera 155720
woman 232528
blue 31042
plant 166578
changes 43574
social 197646
names 147158
enough 70888
mountain 143681
highest 97151
latin 122246
above 7978
los 127460
himself 97443
located 126612
ocean 153881
ground 89991
canadian 39216
director 62330
students 203336
numbers 152748
helped 95751
smaller 196938
look 127236
range 175921
rights 181071
hot 99560
originally 156422
cannot 39485
sound 198895
least 122983
gold 87646
program 171008
henry 96049
society 197680
shown 193952
ten 210381
far 75509
mainly 130939
museum 145225
lower 127801
characters 43769
want 228767
writing 233186
russian 184116
outside 157685
size 195912
recorded 177396
academy 8220
grand 88865
reached 176792
david 57825
fish 77911
washington 229121
sports 200213
opened 155686
successful 204029
writer 233178
1998 2639
going 87591
possible 168985
know 117071
research 179442
various 223845
allowed 12795
support 205281
1996 2637
governor 88549
decided 58417
goes 87519
seat 189830
paul 161567
christian 45951
sun 204687
longer 127084
site 195797
mexico 138343
stop 202463
network 149370
indian 104135
months 142532
miles 139324
surface 205399
here 96237
keep 113978
bridge 34581
amount 14138
takes 207902
theory 211800
development 60722
ended 70414
data 57699
census 42444
ireland 106471
divided 63247
bc 26054
centre 42544
per 162942
added 9054
000 1
richard 180767
michael 138545
winter 231897
ways 229523
elected 69054
31 3942
disease 62609
ever 73595
humans 100381
association 19833
1995 2636
discovered 62562
replaced 179185
continued 51319
1997 2638
street 202913
friends 81154
britain 34841
aged 10339
parents 160489
angeles 15050
present 170173
position 168939
nhl 150025
events 73589
illinois 102978
cells 42335
1994 2634
eat 67456
believed 27026
studio 203345
systems 206745
asia 19469
african 10132
returned 179986
larger 121956
signed 194796
birds 29856
mary 133786
prize 170706
square 200532
uk 219891
mountains 143689
iowa 106298
win 231648
russia 184115
process 170800
musical 145268
independent 104109
tried 216810
someone 198226
eight 68599
stadium 200857
color 49285
emperor 70102
told 214312
forms 79797
feet 76325
1992 2631
result 179758
virginia 226394
buildings 36147
my 145725
community 49799
themselves 211696
believe 27025
sweden 206066
wrestling 233137
rivers 181585
front 81351
animal 15324
business 37084
fight 77301
model 141197
points 167587
atlantic 20368
voice 227051
case 40977
established 72617
switzerland 206238
soldiers 197979
olympic 155160
ago 10531
related 178562
valley 223381
designed 60294
job 109942
politician 167818
design 60286
albums 11891
stories 202517
directed 62311
dead 58075
tv 218757
scotland 189316
northwest 151985
thomas 212263
catholic 41566
railway 175349
true 217501
culture 55202
probably 170740
fourth 80217
1990 2625
al 11592
beginning 26732
native 147910
prince 170548
described 60209
rest 179678
hand 93203
cancer 39284
edward 68156
finished 77652
election 69057
quickly 174293
formula 79799
bay 25844
episode 71475
retired 179879
parliament 160641
tree 216402
wwe 233396
announced 15599
medal 136092
mass 134087
biggest 29231
traditional 215716
temperature 210306
texas 211275
higher 97150
contains 51211
itself 107435
schools 188829
boy 33417
brown 35294
education 68126
wales 228448
brought 35272
peter 163785
pope 168524
artist 18972
ideas 102295
territory 210930
health 95014
medical 136179
orchestra 156101
40 4546
male 131400
needed 148625
climate 47770
length 123719
1993 2633
rule 183824
1991 2629
causes 41751
below 27236
louis 127628
tour 215356
co 48270
round 183176
available 21499
starting 201315
gets 85463
problem 170756
features 76214
federal 76252
1980 2604
oldest 154882
200 2730
dark 57477
release 178601
throughout 212566
gas 83780
write 233174
doctor 63660
whole 230964
call 38657
1989 2620
oil 154608
met 137914
commonly 49749
production 170889
rather 176333
comedy 49519
rules 183834
upper 221982
kinds 115941
grow 90046
generally 84677
port 168759
grew 89529
kept 114443
kill 115700
saw 187834
1984 2611
action 8856
ring 181252
dance 57116
moon 142706
damage 56973
olympics 155161
super 204931
older 154879
cell 42311
stone 202407
base 25234
religious 178661
1986 2614
lines 125575
eventually 73592
1988 2619
normal 151816
followed 79274
examples 73833
19th 2652
tells 210194
aircraft 11053
services 191559
border 32497
cold 48905
bank 24247
past 161173
cross 54321
your 235518
hill 97329
500 5056
laws 122672
genus 84918
happened 93582
sister 195761
speed 199553
magazine 130312
wide 231107
success 204024
trade 215693
raised 175430
asked 19519
pay 161742
festival 76926
pacific 158552
nations 147905
channel 43617
source 198954
key 114734
heavy 95140
standard 201081
disney 62760
korea 117893
our 157480
units 221187
create 53703
birth 29953
ship 193431
nature 147986
leave 123001
golden 87666
1979 2602
novel 152282
arts 18998
pop 168513
1983 2610
gives 86516
seasons 189828
dutch 66558
destroyed 60446
material 134372
girl 86366
korean 117894
1987 2616
trees 216423
1976 2598
1981 2608
performance 163135
simple 195254
1974 2595
towns 215490
try 217615
powerful 169367
nuclear 152608
electric 69073
active 8871
leaves 123012
iii 102721
me 135912
forest 79636
chief 44991
internet 105707
return 179984
religion 178656
inhabitants 104755
lord 127357
1982 2609
reason 176960
private 170677
victoria 225577
20th 2943
hours 99704
singles 195447
machine 129782
castle 41262
spent 199648
canton 39605
difficult 61641
except 73879
austria 21205
behind 26813
skin 196141
artists 18983
piece 165298
introduced 105966
1985 2612
districts 63102
jewish 109478
baseball 25235
nine 150673
cases 40999
lee 123182
producer 170883
piano 165079
separate 191132
fighting 77305
1973 2594
companies 49852
2015 2807
1975 2597
jackson 107934
mid 138908
fall 75233
month 142521
organization 156296
stopped 202475
brain 33750
1972 2593
parish 160552
scientists 189138
moving 143844
news 149757
pieces 165301
1969 2585
nearly 148458
iron 106549
friend 81148
don 64144
meant 135977
studies 203344
turned 218540
jesus 109392
duke 66047
mario 133172
fast 75799
fought 80124
southwest 199052
guitar 90854
unit 221167
irish 106513
chart 43971
industry 104318
peace 161904
1970 2589
greatest 89268
cars 40768
re 176781
code 48575
rome 182460
taking 207931
regions 178112
martin 133651
letter 124206
already 13090
read 176818
mount 143679
showed 193935
turn 218527
object 153625
produce 170881
sir 195635
roles 182307
tell 210179
awarded 21843
post 168992
getting 85468
host 99534
finally 77548
secretary 189975
mark 133240
pressure 170245
owned 158184
why 231016
paper 159988
week 229817
sex 191837
berlin 27927
yellow 234862
train 215785
bill 29406
champion 43438
independence 104105
software 197819
earlier 67276
future 82202
effect 68252
actually 8901
brazil 34076
prison 170647
let 124165
project 171059
wood 232608
track 215658
marriage 133501
becomes 26488
board 31256
1971 2592
revolution 180203
joseph 110351
quite 174507
acid 8651
entertainment 71048
terms 210803
foreign 79587
depression 59947
shot 193860
refer 177812
defeated 58708
thing 212105
2016 2808
pictures 165273
democratic 59433
wind 231678
poor 168494
covered 53193
addition 9079
towards 215448
media 136143
dynasty 66788
programs 171021
runs 183969
shape 192463
navy 148169
theatre 211583
letters 124221
deep 58646
physical 164968
cut 55657
ball 23657
passed 161104
involved 106172
economic 67794
1978 2600
1968 2584
1967 2582
scottish 189329
forced 79521
placed 166389
composer 50025
engine 70673
eggs 68398
husband 100713
hold 98445
girls 86377
dry 65656
medicine 136194
whose 231007
degree 58903
1977 2599
nation 147863
hospital 99511
netherlands 149316
basic 25291
windows 231721
simply 195275
normally 151827
face 74823
israel 107144
structure 203208
professor 170938
die 61497
ships 193462
elizabeth 69426
easily 67382
test 211039
smith 197074
technology 209758
heat 95086
rich 180765
charge 43817
room 182630
institute 105264
becoming 26489
spread 200321
travel 216266
buried 36821
date 57718
fact 74885
further 82092
regular 178180
build 36140
ran 175834
self 190568
training 215793
function 81912
60 5537
carbon 40103
speak 199415
beach 26126
bird 29834
minutes 140071
spoken 200087
distance 63007
jr 110534
note 152106
americans 13847
therefore 211840
weeks 229829
elements 69229
palace 159016
care 40275
leading 122873
families 75338
1970s 2591
recent 177149
nominated 151407
committee 49727
